h_address,h_link,h_ranking_users,h_star,r_average,r_excellent,r_poor,r_terrible,r_very_good
"Carrer d'Elkano , 8001 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d1227217-Reviews-Sonia_s_House-Barcelona_Catalonia.html,467,NaN,0,0,0,0,1
"Las Ramblas , 8001 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d1205285-Reviews-Ramblas_Liceu-Barcelona_Catalonia.html,466,NaN,0,1,0,0,1
"Ronda Sant Pau, 55 , 08015 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d651519-Reviews-Ana_Maria_Hotel-Barcelona_Catalonia.html,465,NaN,0,0,0,0,1
"Calle Travessera de Gracia , 8012 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d1195997-Reviews-Sol_Apartments-Barcelona_Catalonia.html,461,NaN,0,1,0,0,0
"Ronda Sant Elm 4 , 08360 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d573470-Reviews-Hotel_Carlos-Barcelona_Catalonia.html,458,NaN,0,1,0,0,0
"Portal Nou, 42, Terrassa , 08221 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d8605007-Reviews-Hotel_Vapor_Gran-Barcelona_Catalonia.html,457,NaN,0,1,0,0,0
"Balmes, 62 , 08007 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d1227122-Reviews-Gaudi_II-Barcelona_Catalonia.html,456,NaN,0,0,0,0,1
"Calle Cal Rale , Montclair08169 Barcelona, ",https://www.tripadvisor.com/Hotel_Review-g187497-d651609-Reviews-Cal_Rale-Barcelona_Catalonia.html,454,NaN,0,1,0,0,0
"2 Avgda Catalunya , 08150 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d652551-Reviews-Hotel_Parets_Els_Pins-Barcelona_Catalonia.html,453,NaN,0,1,0,0,1
"Avda. Marques de Argentera, 131 , 08003 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d1491872-Reviews-AAE_Orleans_Hotel_Barcelona-Barcelona_Catalonia.html,452,NaN,0,1,0,0,1
"Breda 3 , 08029 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d651526-Reviews-Hotel_Betres-Barcelona_Catalonia.html,451,NaN,0,0,0,0,3
"Avenida Catalunya 63 , Sant Andreu de Llavaneres08007 Barcelona, ",https://www.tripadvisor.com/Hotel_Review-g187497-d666555-Reviews-Vilaclara_Art_Hotel-Barcelona_Catalonia.html,449,NaN,0,3,0,0,0
"Travessera de Gracia 8, 1r 1a , 08021 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d1217190-Reviews-AR_Barcelona_Calvet-Barcelona_Catalonia.html,448,NaN,0,1,0,0,2
"Calle Pelayo 50 4-4 , The apartments are based in differerent locations.08001 Barcelona, ",https://www.tripadvisor.com/Hotel_Review-g187497-d1204581-Reviews-Barcelona_Nextdoor_Apartments-Barcelona_Catalonia.html,445,NaN,6,8,7,17,13
"Carrer de Calabria 10 , 08015 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d1490078-Reviews-Apartamentos_Paral_lel_IV-Barcelona_Catalonia.html,444,2.0,0,1,0,0,0
"Ctra. Bassacs, 60 , 08680 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d652543-Reviews-Hotel_l_Orenta-Barcelona_Catalonia.html,443,NaN,0,0,0,0,1
"Urbanizacion Beltran, S/n , 08269 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d8618386-Reviews-Apsis_Eada_Monserrat-Barcelona_Catalonia.html,440,NaN,0,2,0,0,0
"Post Bus 15272 , 1001Mg Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d484842-Reviews-Barcelona_Escape_Apartments-Barcelona_Catalonia.html,437,NaN,0,5,0,0,0
"Joan de Austria, 51 , 08005 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d1931412-Reviews-Ciutadella_Park_Apartments-Barcelona_Catalonia.html,455,NaN,4,4,0,2,3
"Calle Cal Peraire , Montclair08619 Barcelona, ",https://www.tripadvisor.com/Hotel_Review-g187497-d651528-Reviews-Cal_Peraire-Barcelona_Catalonia.html,436,NaN,0,2,0,0,2
"C/ Provenza 408 , 08025 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d1175301-Reviews-Sport_Barcelona-Barcelona_Catalonia.html,434,NaN,4,6,0,0,6
"Calle Carretera Reial 132 , 08960 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d1211777-Reviews-City_Park_Hotel_Barcelona-Barcelona_Catalonia.html,429,NaN,9,0,2,1,3
"Carrer de la Creu Coberta, 23 , 08014 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d1929120-Reviews-Living_Barcelona_Apartments-Barcelona_Catalonia.html,428,NaN,0,0,0,0,2
"Via Laietana , 8003 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d1207253-Reviews-Casameva-Barcelona_Catalonia.html,416,NaN,0,6,0,0,6
"Passatge Flaugier 31 , 08041 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d651617-Reviews-Canigo_Hostal-Barcelona_Catalonia.html,410,NaN,1,2,0,0,5
"Lepant 266 , 08013 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d1569152-Reviews-Sagrada_Familia_Home-Barcelona_Catalonia.html,390,NaN,3,9,0,0,5
"Ctra Matorell Capellades, Km 19.5 , Sant Esteve de Sesrovires08635 Barcelona, ",https://www.tripadvisor.com/Hotel_Review-g187497-d550921-Reviews-Barcelo_Montserrat-Barcelona_Catalonia.html,385,NaN,5,12,3,1,12
"Calle Provenca 340 , 08037 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d8779132-Reviews-Ibis_Styles_Barcelona_Centre-Barcelona_Catalonia.html,99,NaN,18,109,3,0,89
"Agullers, 22 , 08003 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d1206008-Reviews-Borne_Star-Barcelona_Catalonia.html,NaN,3.5,NaN,NaN,NaN,NaN,NaN
"Avinguda De Francesc Cambo, 14 , 08003 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d13451262-Reviews-The_Barcelona_EDITION-Barcelona_Catalonia.html,418,3.0,1,4,0,0,0
"34 Ramblas , Del Teatre Square08002 Barcelona, ",https://www.tripadvisor.com/Hotel_Review-g187497-d234576-Reviews-Apartamentos_Mur_Mar-Barcelona_Catalonia.html,498,NaN,4,3,7,13,8
"Av. Paral-lel, 119 , 08004 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d652557-Reviews-Hostal_Rio_de_Castro-Barcelona_Catalonia.html,495,2.5,0,0,0,1,0
"C/ Jaume I, 11 , Barrio Gótico08002 Barcelona, ",https://www.tripadvisor.com/Hotel_Review-g187497-d239537-Reviews-Hotel_Jaume_I-Barcelona_Catalonia.html,492,1.0,36,8,18,24,33
"Travesera de Gracia 380-384 , 08025 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d266809-Reviews-H_TOP_BCN_City-Barcelona_Catalonia.html,483,2.0,24,9,11,8,26
"Carrer Del Cadenal Casanas 4 , 08002 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d238731-Reviews-Hostal_Paris-Barcelona_Catalonia.html,487,NaN,28,7,7,23,23
"C/ Campoamor 79 , 08031 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d249509-Reviews-Colors_Hotel-Barcelona_Catalonia.html,485,2.0,16,4,6,4,9
"Carrer Nou de Sant Francesc 25 , Ciutat Vella08002 Barcelona, ",https://www.tripadvisor.com/Hotel_Review-g187497-d14773919-Reviews-Casa_Lirio-Barcelona_Catalonia.html,NaN,1.0,NaN,NaN,NaN,NaN,NaN
"Marques de Barbara 22 , 08001 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d282941-Reviews-Hotel_Barbara-Barcelona_Catalonia.html,493,1.0,68,15,33,42,52
"C/ Diputacio 234 - 236 , 08007 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d304310-Reviews-Sansi_Diputacio_Hotel-Barcelona_Catalonia.html,484,4.0,43,36,46,48,68
"Las Ramblas 138 , 08002 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d208587-Reviews-Hotel_Toledano_and_Hostal_R_Capitol-Barcelona_Catalonia.html,482,NaN,15,8,7,19,25
